,Country Name,Country Code,year,population
384,Argentina,ARG,1988,31668949
385,Armenia,ARM,1988,3504659
386,Aruba,ABW,1988,61079
387,Australia,AUS,1988,16532200
388,Austria,AUT,1988,7585317
389,Azerbaijan,AZE,1988,7010027
390,Afghanistan,AFG,1989,11868877
391,Albania,ALB,1989,3227943
392,Algeria,DZA,1989,25106190
393,American Samoa,ASM,1989,45894
394,Andorra,AND,1989,52448
395,Angola,AGO,1989,11454777
396,Antigua and Barbuda,ATG,1989,62008
397,Argentina,ARG,1989,32148134
398,Armenia,ARM,1989,3536474
399,Aruba,ABW,1989,61032
400,Australia,AUS,1989,16814400
401,Austria,AUT,1989,7619567
402,Azerbaijan,AZE,1989,7126881
403,Afghanistan,AFG,1990,12412308
404,Albania,ALB,1990,3286542
405,Algeria,DZA,1990,25758869
406,American Samoa,ASM,1990,47347
407,Andorra,AND,1990,54509
408,Angola,AGO,1990,11848386
409,Antigua and Barbuda,ATG,1990,62528
410,Argentina,ARG,1990,32618651
411,Armenia,ARM,1990,3538171
412,Aruba,ABW,1990,62149
413,Australia,AUS,1990,17065100
414,Austria,AUT,1990,7677850
415,Azerbaijan,AZE,1990,7159000
416,Afghanistan,AFG,1991,13299017
417,Albania,ALB,1991,3266790
418,Algeria,DZA,1991,26400479
419,American Samoa,ASM,1991,48685
420,Andorra,AND,1991,56671
421,Angola,AGO,1991,12248901
422,Antigua and Barbuda,ATG,1991,63367
423,Argentina,ARG,1991,33079000
424,Armenia,ARM,1991,3505258
425,Aruba,ABW,1991,64622
426,Australia,AUS,1991,17284000
427,Austria,AUT,1991,7754891
428,Azerbaijan,AZE,1991,7271000
429,Afghanistan,AFG,1992,14485546
430,Albania,ALB,1992,3247039
431,Algeria,DZA,1992,27028326
432,American Samoa,ASM,1992,49896
433,Andorra,AND,1992,58888
434,Angola,AGO,1992,12657366
435,Antigua and Barbuda,ATG,1992,64471
436,Argentina,ARG,1992,33529326
437,Armenia,ARM,1992,3442817
438,Aruba,ABW,1992,68235
439,Australia,AUS,1992,17495000
440,Austria,AUT,1992,7840709
441,Azerbaijan,AZE,1992,7382000
442,Afghanistan,AFG,1993,15816603
443,Albania,ALB,1993,3227287
444,Algeria,DZA,1993,27635515
445,American Samoa,ASM,1993,51020
446,Andorra,AND,1993,60971
447,Angola,AGO,1993,13075049
448,Antigua and Barbuda,ATG,1993,65777
449,Argentina,ARG,1993,33970111
450,Armenia,ARM,1993,3363108
451,Aruba,ABW,1993,72504
452,Australia,AUS,1993,17667000
453,Austria,AUT,1993,7905633
454,Azerbaijan,AZE,1993,7495000
455,Afghanistan,AFG,1994,17075727
456,Albania,ALB,1994,3207536
457,Algeria,DZA,1994,28213774
458,American Samoa,ASM,1994,52095
459,Andorra,AND,1994,62677
460,Angola,AGO,1994,13503747
461,Antigua and Barbuda,ATG,1994,67204
462,Argentina,ARG,1994,34402672
463,Armenia,ARM,1994,3283667
464,Aruba,ABW,1994,76700
465,Australia,AUS,1994,17855000
466,Austria,AUT,1994,7936118
467,Azerbaijan,AZE,1994,7597000
468,Afghanistan,AFG,1995,18110657
469,Albania,ALB,1995,3187784
470,Algeria,DZA,1995,28757785
471,American Samoa,ASM,1995,53161
472,Andorra,AND,1995,63850
473,Angola,AGO,1995,13945206
474,Antigua and Barbuda,ATG,1995,68670
475,Argentina,ARG,1995,34828170
476,Armenia,ARM,1995,3217348
477,Aruba,ABW,1995,80324
478,Australia,AUS,1995,18072000
479,Austria,AUT,1995,7948278
480,Azerbaijan,AZE,1995,7685000
481,Afghanistan,AFG,1996,18853437
482,Albania,ALB,1996,3168033
483,Algeria,DZA,1996,29266405
484,American Samoa,ASM,1996,54211
485,Andorra,AND,1996,64360
486,Angola,AGO,1996,14400719
487,Antigua and Barbuda,ATG,1996,70173
488,Argentina,ARG,1996,35246374
489,Armenia,ARM,1996,3168221
490,Aruba,ABW,1996,83200
491,Australia,AUS,1996,18311000
492,Austria,AUT,1996,7959017
493,Azerbaijan,AZE,1996,7763000
494,Afghanistan,AFG,1997,19357126
495,Albania,ALB,1997,3148281
496,Algeria,DZA,1997,29742979
497,American Samoa,ASM,1997,55221
498,Andorra,AND,1997,64327
499,Angola,AGO,1997,14871570
500,Antigua and Barbuda,ATG,1997,71704
501,Argentina,ARG,1997,35657429
502,Armenia,ARM,1997,3133089
503,Aruba,ABW,1997,85451
504,Australia,AUS,1997,18517000
505,Austria,AUT,1997,7968041
506,Azerbaijan,AZE,1997,7838250
507,Afghanistan,AFG,1998,19737765
508,Albania,ALB,1998,3128530
